track_id,class_id,track_length,first_frame,last_frame
1,2,676,0,675
2,2,784,0,783
3,2,68,0,67
5,2,904,0,911
6,2,699,0,757
7,2,27,0,32
8,2,338,0,440
9,2,398,0,540
10,5,419,0,460
13,2,122,0,351
14,2,246,3,272
15,2,42,3,53
18,5,1,15,15
20,7,5,42,46
21,2,272,59,340
24,2,10,69,80
26,2,14,72,88
29,2,31,87,123
31,2,3,109,111
32,2,801,111,911
33,2,335,117,543
35,2,66,123,189
36,2,85,133,317
37,2,209,143,361
39,7,4,170,173
40,7,18,171,192
41,2,31,192,226
44,7,7,201,207
45,2,7,211,217
46,2,2,211,212
47,7,3,218,220
50,2,344,237,617
51,2,3,243,245
52,2,645,251,911
53,2,80,264,343
54,2,2,276,277
55,2,2,283,284
56,2,610,288,911
57,7,1,291,291
58,2,5,297,301
59,7,1,305,305
60,7,1,310,310
62,2,151,341,680
63,2,78,366,461
65,2,114,438,574
66,2,6,460,465
67,2,11,460,470
68,7,2,469,470
71,2,14,517,540
72,2,383,529,911
73,2,6,536,541
74,2,333,537,911
75,2,1,545,545
78,7,2,567,568
79,2,116,567,710
81,2,66,576,641
82,2,333,579,911
83,2,22,600,881
84,7,1,592,592
85,2,1,595,595
87,2,165,611,780
89,2,1,625,625
90,7,283,627,911
92,2,86,648,733
94,2,162,670,832
95,2,9,673,683
96,2,21,675,695
97,2,3,689,691
99,2,34,703,739
100,2,198,709,911
101,7,2,716,717
102,2,12,737,751
103,2,14,738,751
104,7,7,749,755
105,2,2,753,754
106,2,110,756,865
107,7,3,757,759
109,7,3,763,765
110,2,2,765,766
111,2,1,768,768
112,2,76,772,848
113,2,5,772,776
114,2,133,779,911
115,2,2,780,781
116,7,81,783,875
117,2,119,789,907
118,7,11,789,832
119,2,2,805,806
122,2,20,834,853
123,2,54,840,904
124,2,61,851,911
125,2,60,852,911
127,2,36,874,911
128,2,19,893,911
