tracker_cfg,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,frames_processed,total_vehicle_boxes,total_unique_track_ids,short_tracks,avg_track_length,min_track_length,max_track_length,fragmented_tracks,total_internal_gaps,probable_reid_events,return_events
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p3__buf_40__match_0p8.yaml,0.15,0.08,0.3,40,0.8,912,11120,138,48,80.58,1,889,58,239,61,61
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p3__buf_40__match_0p85.yaml,0.15,0.08,0.3,40,0.85,912,11714,115,32,101.86,1,897,49,194,35,35
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p3__buf_40__match_0p9.yaml,0.15,0.08,0.3,40,0.9,912,12056,102,28,118.2,1,904,43,223,30,30
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p3__buf_50__match_0p8.yaml,0.15,0.08,0.3,50,0.8,912,11120,138,48,80.58,1,889,58,239,61,61
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p3__buf_50__match_0p85.yaml,0.15,0.08,0.3,50,0.85,912,11714,114,31,102.75,1,897,49,195,35,35
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p3__buf_50__match_0p9.yaml,0.15,0.08,0.3,50,0.9,912,12069,102,28,118.32,1,904,43,227,30,30
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p3__buf_60__match_0p8.yaml,0.15,0.08,0.3,60,0.8,912,11138,135,46,82.5,1,889,58,243,59,59
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p3__buf_60__match_0p85.yaml,0.15,0.08,0.3,60,0.85,912,11724,114,31,102.84,1,897,49,197,35,35
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p3__buf_60__match_0p9.yaml,0.15,0.08,0.3,60,0.9,912,12079,102,28,118.42,1,904,43,229,30,30
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p35__buf_40__match_0p8.yaml,0.15,0.08,0.35,40,0.8,912,10879,116,41,93.78,1,889,48,217,41,41
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p35__buf_40__match_0p85.yaml,0.15,0.08,0.35,40,0.85,912,11418,105,32,108.74,1,897,45,186,31,31
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p35__buf_40__match_0p9.yaml,0.15,0.08,0.35,40,0.9,912,11735,94,29,124.84,1,904,41,213,25,25
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p35__buf_50__match_0p8.yaml,0.15,0.08,0.35,50,0.8,912,10879,115,40,94.6,1,889,49,218,41,41
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p35__buf_50__match_0p85.yaml,0.15,0.08,0.35,50,0.85,912,11419,104,31,109.8,1,897,45,188,30,30
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p35__buf_50__match_0p9.yaml,0.15,0.08,0.35,50,0.9,912,11748,94,29,124.98,1,904,41,217,25,25
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p35__buf_60__match_0p8.yaml,0.15,0.08,0.35,60,0.8,912,10879,114,38,95.43,1,889,49,219,40,40
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p35__buf_60__match_0p85.yaml,0.15,0.08,0.35,60,0.85,912,11429,104,31,109.89,1,897,45,190,30,30
temp_botsort_configs\thigh_0p15__tlow_0p08__new_0p35__buf_60__match_0p9.yaml,0.15,0.08,0.35,60,0.9,912,11758,94,29,125.09,1,904,41,219,25,25
